,lon,lat,name,letter,min,file,soil.moisture.depths.cm,temp.depths.cm,SMDEP1,SMDEP2,SMDEP3,SMDEP4,SMDEP5,SMDEP6,SMDEP7,SMDEP8,SMDEP9,SMDEP10,TDEP1,TDEP2,TDEP3,TDEP4,TDEP5,TDEP6,TDEP7,TDEP8,TDEP9,TDEP10
1,148.106488,-35.497492,a1,a,30,a1_30min_sm.txt,"4,15,45,75","4,15,45,75",0,2,4,8,15,45,75,90,150,200,0,2,4,8,15,45,75,90,150,200
2,148.131626,-35.428312,a2,a,30,a2_30min_sm.txt,"4,15,45,75","4,15,45,75",0,2,4,8,15,45,75,90,150,200,0,2,4,8,15,45,75,90,150,200
3,148.101076,-35.399688,a3,a,30,a3_30min_sm.txt,"4,15,45,75","4,15,45,75",0,2,4,8,15,45,75,90,150,200,0,2,4,8,15,45,75,90,150,200
4,148.066082,-35.373106,a4,a,30,a4_30min_sm.txt,"4,15,45,75","4,15,45,75",0,2,4,8,15,45,75,90,150,200,0,2,4,8,15,45,75,90,150,200
5,148.085427,-35.360194,a5,a,30,a5_30min_sm.txt,"4,15,45,75","4,15,45,75",0,2,4,8,15,45,75,90,150,200,0,2,4,8,15,45,75,90,150,200
6,147.5348,-35.32395,k10,k,20,k10_20min_sm.txt,"2.85, 15, 45, 75"," 3, 15",0,2.85,4,8,15,45,75,90,150,200,0,2,3,8,15,32,64,90,150,200
7,147.42902,-35.27202,k11,k,20,k11_20min_sm.txt,"2.85, 15, 45, 75"," 3, 15",0,2.85,4,8,15,45,75,90,150,200,0,2,3,8,15,32,64,90,150,200
8,147.485,-35.2275,k12,k,20,k12_20min_sm.txt,"2.85, 15, 45, 75"," 3, 15",0,2.85,4,8,15,45,75,90,150,200,0,2,3,8,15,32,64,90,150,200
9,147.5333,-35.23887,k13,k,20,k13_20min_sm.txt,"2.85, 15, 45, 75"," 3, 15",0,2.85,4,8,15,45,75,90,150,200,0,2,3,8,15,32,64,90,150,200
10,147.4974,-35.12493,k14,k,20,k14_20min_sm.txt,"2.85, 15, 45, 75"," 3, 15",0,2.85,4,8,15,45,75,90,150,200,0,2,3,8,15,32,64,90,150,200
11,147.55912,-35.49322,k1,k,30,k1_30min_sm.txt,"4,15,45,75","4,15,45,75",0,2,4,8,15,45,75,90,150,200,0,2,4,8,15,45,75,90,150,200
12,147.53052,-35.43525,k2,k,30,k2_30min_sm.txt,"4,15,45,75","4,15,45,75",0,2,4,8,15,45,75,90,150,200,0,2,4,8,15,45,75,90,150,200
13,147.56893,-35.43408,k3,k,30,k3_30min_sm.txt,"4,15,45,58.5","4,15,45,75",0,2,4,8,15,45,58.5,90,150,200,0,2,4,8,15,45,75,90,150,200
14,147.6,-35.42688,k4,k,30,k4_30min_sm.txt,"4,15,45,75","4,15,45,75",0,2,4,8,15,45,75,90,150,200,0,2,4,8,15,45,75,90,150,200
15,147.60408,-35.41928,k5,k,30,k5_30min_sm.txt,"4,15,45,66","4,15,45,75",0,2,4,8,15,45,66,90,150,200,0,2,4,8,15,45,75,90,150,200
