"","spcode","spcode_4_3","accepted_species","dispersal_syndrome_modified","pollination_syndrome_modified","sexual_system_modified","mean_wd","seedlength_mm","seedlength_cat","n_mgg_1","p_mgg_1","n_p_ratio"
"1","abarad","abarade","Abarema adenophora","dani","pvar","ssher",0.511571428571429,NA,"15_to_30mm",26.7,1.1,24.2727272727273
"2","abarra","abarrac","Abarema racemiflora","dani","pins","ssher",0.511571428571429,NA,NA,26.7,1.1,24.2727272727273
"3","alcofl","alchflo","Alchorneopsis floribunda","dani","pins","ssdio",0.40475,NA,"15_to_30mm",32.8,1.2,27.3333333333333
"4","ampema","ampemac","Ampelocera macrocarpa","dani","pins","ssher",0.67375,NA,"30_to_50mm",24.8,1,24.8
"5","andiin","andiine","Andira inermis","dani","pins","ssher",0.642666666666667,NA,"30_to_50mm",28.8,1.1,26.1818181818182
"6","annomo","annomon","Annona montana","dani","pins","ssher",0.498714285714286,NA,NA,22.5,1,22.5
"7","apeime","apeimem","Apeiba membranacea","dvar","pins","ssher",0.254761111111111,NA,"1_to_6mm",31.4,1.46,21.5068493150685
"8","ardifi","ardifim","Ardisia fimbrillifera","dani","pins","ssher",0.62,NA,"15_to_30mm",18.84,0.89,21.1685393258427
"9","aspisr","aspispr","Aspidosperma spruceanum","dwin","pins","ssher",0.753333333333333,NA,"30_to_50mm",18.64,0.69,27.0144927536232
"10","baliel","baliele","Balizia elegans","dani","pvar","ssher",0.495,NA,"15_to_30mm",28.37,0.84,33.7738095238095
"11","beilco","beilcos","Beilschmiedia costaricensis","dani","pins","ssher",0.543333333333333,NA,NA,23.7,0.9,26.3333333333333
"12","billco","billcol","Putzeysia rosea","dani","pins","ssher",0.60142650396498,NA,NA,20.2,1.5,13.4666666666667
"13","brosgu","brosgui","Brosimum guianense","dvar","pvar","ssdio",0.8435,13.4,"15_to_30mm",28.85,0.88,32.7840909090909
"14","brosla","broslac","Brosimum lactescens","dvar","pvar","ssdio",0.6556,NA,"15_to_30mm",23.19,0.88,26.3522727272727
"15","byrsar","byrscri","Byrsonima crispa","dani","pins","ssher",0.58,NA,"6_to_15mm",28.1,1.1,25.5454545454545
